nest,nest_type,behavior,behavior_duration,year,month,day,start_time,observation_seconds
1,unguarded,approach,0,2019,6,3,952,600
1,unguarded,approach,0,2019,6,3,952,600
1,unguarded,approach,0,2019,6,3,952,600
1,unguarded,approach,0,2019,6,3,952,600
1,unguarded,approach,0,2019,6,3,952,600
1,unguarded,approach,0,2019,6,3,952,600
1,unguarded,touch,0,2019,6,3,952,600
1,unguarded,touch,0,2019,6,3,952,600
1,unguarded,touch,0,2019,6,3,952,600
1,unguarded,touch,0,2019,6,3,952,600
1,unguarded,touch,0,2019,6,3,952,600
1,unguarded,touch,0,2019,6,3,952,600
1,unguarded,touch,0,2019,6,3,952,600
1,unguarded,touch,0,2019,6,3,952,600
1,unguarded,touch,0,2019,6,3,952,600
1,unguarded,touch,0,2019,6,3,952,600
1,unguarded,deep.entry,0,2019,6,3,952,600
1,unguarded,deep.entry,0,2019,6,3,952,600
1,unguarded,deep.entry,0,2019,6,3,952,600
1,unguarded,deep.entry,0,2019,6,3,952,600
1,unguarded,deep.entry,0,2019,6,3,952,600
1,unguarded,deep.entry,0,2019,6,3,952,600
1,unguarded,deep.entry,0,2019,6,3,952,600
2,guarded,approach,0,2019,6,3,1007,600
2,guarded,approach,0,2019,6,3,1007,600
2,guarded,approach,0,2019,6,3,1007,600
2,guarded,touch,0,2019,6,3,1007,600
2,guarded,touch,0,2019,6,3,1007,600
2,guarded,touch,0,2019,6,3,1007,600
2,guarded,touch,0,2019,6,3,1007,600
2,guarded,touch,0,2019,6,3,1007,600
2,guarded,deep.entry,0,2019,6,3,1007,600
2,guarded,deep.entry,0,2019,6,3,1007,600
2,guarded,deep.entry,0,2019,6,3,1007,600
2,guarded,deep.entry,0,2019,6,3,1007,600
2,guarded,deep.entry,0,2019,6,3,1007,600
2,guarded,deep.entry,0,2019,6,3,1007,600
2,guarded,deep.entry,0,2019,6,3,1007,600
2,guarded,deep.entry,0,2019,6,3,1007,600
2,guarded,deep.entry,0,2019,6,3,1007,600
2,guarded,deep.entry,0,2019,6,3,1007,600
2,guarded,multiple.bees,0,2019,6,3,1007,600
2,guarded,multiple.bees,0,2019,6,3,1007,600
2,guarded,multiple.bees,0,2019,6,3,1007,600
2,guarded,multiple.bees,0,2019,6,3,1007,600
2,guarded,multiple.bees,0,2019,6,3,1007,600
2,guarded,guard,,2019,6,3,1007,600
2,guarded,guard,,2019,6,3,1007,600
2,guarded,guard,,2019,6,3,1007,600
2,guarded,guard,,2019,6,3,1007,600
2,guarded,guard,,2019,6,3,1007,600
2,guarded,guard,,2019,6,3,1007,600
2,guarded,guard,,2019,6,3,1007,600
2,guarded,guard,,2019,6,3,1007,600
2,guarded,guard,,2019,6,3,1007,600
2,guarded,guard,,2019,6,3,1007,600
3,unguarded,approach,0,2019,6,3,1030,600
3,unguarded,approach,0,2019,6,3,1030,600
3,unguarded,approach,0,2019,6,3,1030,600
3,unguarded,approach,0,2019,6,3,1030,600
3,unguarded,approach,0,2019,6,3,1030,600
3,unguarded,approach,0,2019,6,3,1030,600
3,unguarded,approach,0,2019,6,3,1030,600
3,unguarded,approach,0,2019,6,3,1030,600
3,unguarded,approach,0,2019,6,3,1030,600
3,unguarded,approach,0,2019,6,3,1030,600
3,unguarded,approach,0,2019,6,3,1030,600
3,unguarded,approach,0,2019,6,3,1030,600
3,unguarded,approach,0,2019,6,3,1030,600
3,unguarded,approach,0,2019,6,3,1030,600
3,unguarded,approach,0,2019,6,3,1030,600
3,unguarded,approach,0,2019,6,3,1030,600
3,unguarded,approach,0,2019,6,3,1030,600
3,unguarded,approach,0,2019,6,3,1030,600
3,unguarded,approach,0,2019,6,3,1030,600
3,unguarded,approach,0,2019,6,3,1030,600
3,unguarded,touch,0,2019,6,3,1030,600
3,unguarded,touch,0,2019,6,3,1030,600
3,unguarded,touch,0,2019,6,3,1030,600
3,unguarded,touch,0,2019,6,3,1030,600
3,unguarded,touch,0,2019,6,3,1030,600
3,unguarded,touch,0,2019,6,3,1030,600
3,unguarded,touch,0,2019,6,3,1030,600
3,unguarded,touch,0,2019,6,3,1030,600
3,unguarded,touch,0,2019,6,3,1030,600
3,unguarded,touch,0,2019,6,3,1030,600
3,unguarded,touch,0,2019,6,3,1030,600
3,unguarded,touch,0,2019,6,3,1030,600
3,unguarded,touch,0,2019,6,3,1030,600
3,unguarded,touch,0,2019,6,3,1030,600
3,unguarded,touch,0,2019,6,3,1030,600
3,unguarded,touch,0,2019,6,3,1030,600
3,unguarded,touch,0,2019,6,3,1030,600
3,unguarded,touch,0,2019,6,3,1030,600
3,unguarded,touch,0,2019,6,3,1030,600
3,unguarded,touch,0,2019,6,3,1030,600
3,unguarded,touch,0,2019,6,3,1030,600
